,Dataset,Model,F1 Score,F1 Score Std,Training Time (s),Test Time (s)
39,X_train_1,SVC,0.21526418786692758,0.0,24.61975359916687,6.147037506103516
40,X_train_1,Stacking Classifier,0.4415300546448087,0.0,125.58839511871338,6.346335411071777
41,X_train_1,XGBoost Classifier,0.7754601226993866,0.0,8.865489482879639,0.016419649124145508
42,X_train_2,Logistic Regression,0.5220406141654285,0.0,3.8444485664367676,0.000972747802734375
43,X_train_2,Bagging (Logistic Regression),0.5235032162295893,0.0,27.164656400680542,0.05651497840881348
44,X_train_2,Random Forest Classifier,0.7377740303541315,0.0,35.32968187332153,0.38569211959838867
45,X_train_2,AdaBoost Classifier,0.6039076376554174,0.0,27.568728923797607,0.37367773056030273
46,X_train_2,SVC,0.19859961807765752,0.0,24.514142751693726,6.035693168640137
47,X_train_2,Stacking Classifier,0.4436061863447756,0.0,127.44767999649048,6.3371806144714355
48,X_train_2,XGBoost Classifier,0.7727815360127338,0.0,10.3317551612854,0.01673603057861328
49,X_train_3,Logistic Regression,0.5380564863571087,0.0,4.3894875049591064,0.010604381561279297
50,X_train_3,Bagging (Logistic Regression),0.5349952061361457,0.0,25.825164794921875,0.032011985778808594
51,X_train_3,Random Forest Classifier,0.7375105842506351,0.0,35.4048330783844,0.3896350860595703
52,X_train_3,AdaBoost Classifier,0.6071741032370954,0.0,27.438098430633545,0.3770406246185303
53,X_train_3,SVC,0.2055485498108449,0.0,24.28256607055664,6.079514026641846
54,X_train_3,Stacking Classifier,0.4519985057900635,0.0,124.16704511642456,6.219056606292725
55,X_train_3,XGBoost Classifier,0.7927999999999998,0.0,9.779500722885132,0.013935565948486328
56,X_train_0,Logistic Regression,0.5553869499241275,0.0,4.033357620239258,0.008879423141479492
57,X_train_0,Bagging (Logistic Regression),0.5574102175012645,0.0,25.665003061294556,0.025407791137695312
58,X_train_0,Random Forest Classifier,0.7543706293706294,0.0,35.48176383972168,0.38719654083251953
59,X_train_0,AdaBoost Classifier,0.637546468401487,0.0,27.510050773620605,0.37604379653930664
60,X_train_0,SVC,0.22503328894806923,0.0,25.337283611297607,6.3014044761657715
61,X_train_0,Stacking Classifier,0.43956043956043955,0.0,127.88063621520996,6.414922714233398
62,X_train_0,XGBoost Classifier,0.7869529314616021,0.0,8.940403938293457,0.016028881072998047
63,X_train_1,Logistic Regression,0.5475728155339806,0.0,4.063248872756958,0.0009639263153076172
64,X_train_1,Bagging (Logistic Regression),0.5504854368932038,0.0,25.203158140182495,0.025014400482177734
65,X_train_1,Random Forest Classifier,0.7368873602751504,0.0,35.42886710166931,0.38546133041381836
66,X_train_1,AdaBoost Classifier,0.6346067415730337,0.0,27.531593322753906,0.37392711639404297
67,X_train_1,SVC,0.21526418786692758,0.0,24.648715257644653,6.2370688915252686
68,X_train_1,Stacking Classifier,0.4415300546448087,0.0,125.7796323299408,6.414743423461914
69,X_train_1,XGBoost Classifier,0.7754601226993866,0.0,9.077337980270386,0.016010284423828125
70,X_train_2,Logistic Regression,0.5220406141654285,0.0,3.99187970161438,0.005789041519165039
71,X_train_2,Bagging (Logistic Regression),0.5235032162295893,0.0,27.067270278930664,0.023359298706054688
72,X_train_2,Random Forest Classifier,0.7373737373737373,0.0,35.04291844367981,0.38735079765319824
73,X_train_2,AdaBoost Classifier,0.6039076376554174,0.0,27.503679752349854,0.37518930435180664
74,X_train_2,SVC,0.19859961807765752,0.0,24.69377899169922,6.121920347213745
75,X_train_2,Stacking Classifier,0.4436061863447756,0.0,124.97955632209778,6.268378019332886
76,X_train_2,XGBoost Classifier,0.7727815360127338,0.0,8.25609040260315,0.014485359191894531
77,X_train_3,Logistic Regression,0.5380564863571087,0.0,4.423922538757324,0.005925416946411133
78,X_train_3,Bagging (Logistic Regression),0.5349952061361457,0.0,25.628410577774048,0.02046513557434082
79,X_train_3,Random Forest Classifier,0.7398066414459858,0.0,36.77887415885925,0.43331170082092285
80,X_train_3,AdaBoost Classifier,0.6071741032370954,0.0,27.849893808364868,0.3693273067474365
81,X_train_3,SVC,0.2055485498108449,0.0,24.36993980407715,6.122908353805542
82,X_train_3,Stacking Classifier,0.4519985057900635,0.0,124.7214720249176,6.504016160964966
83,X_train_3,XGBoost Classifier,0.7927999999999998,0.0,8.999210596084595,0.015451669692993164
84,X_train_0,Logistic Regression,0.5553869499241275,0.0,4.06833028793335,0.007853269577026367
85,X_train_0,Bagging (Logistic Regression),0.5574102175012645,0.0,25.68758535385132,0.030245065689086914
86,X_train_0,Random Forest Classifier,0.7541557305336832,0.0,35.58269214630127,0.38561272621154785
87,X_train_0,AdaBoost Classifier,0.637546468401487,0.0,27.552972555160522,0.369945764541626
88,X_train_0,SVC,0.22503328894806923,0.0,25.103715419769287,6.309702634811401
89,X_train_0,Stacking Classifier,0.43956043956043955,0.0,127.3363528251648,6.649662733078003
90,X_train_0,XGBoost Classifier,0.7869529314616021,0.0,9.412795066833496,0.017915725708007812
91,X_train_1,Logistic Regression,0.5475728155339806,0.0,4.210968494415283,0.0009708404541015625
92,X_train_1,Bagging (Logistic Regression),0.5504854368932038,0.0,25.19265127182007,0.0514979362487793
93,X_train_1,Random Forest Classifier,0.7377472055030094,0.0,35.231836795806885,0.3974597454071045
94,X_train_1,AdaBoost Classifier,0.6346067415730337,0.0,27.689033269882202,0.3843350410461426
95,X_train_1,SVC,0.21526418786692758,0.0,24.647380113601685,6.9977405071258545
96,X_train_1,Stacking Classifier,0.4415300546448087,0.0,126.06001257896423,6.58790135383606
97,X_train_1,XGBoost Classifier,0.7754601226993866,0.0,9.360030174255371,0.013895988464355469
98,X_train_2,Logistic Regression,0.5220406141654285,0.0,4.453653573989868,0.0010981559753417969
99,X_train_2,Bagging (Logistic Regression),0.5235032162295893,0.0,27.025445699691772,0.06758975982666016
100,X_train_2,Random Forest Classifier,0.7353313634444913,0.0,35.357598066329956,0.385204553604126
101,X_train_2,AdaBoost Classifier,0.6039076376554174,0.0,27.5328049659729,0.37595367431640625
102,X_train_2,SVC,0.19859961807765752,0.0,24.655226469039917,6.071021795272827
103,X_train_2,Stacking Classifier,0.4436061863447756,0.0,124.87675642967224,6.252508640289307
104,X_train_2,XGBoost Classifier,0.7727815360127338,0.0,8.478938579559326,0.014863014221191406
105,X_train_3,Logistic Regression,0.5380564863571087,0.0,4.4178643226623535,0.0011737346649169922
106,X_train_3,Bagging (Logistic Regression),0.5349952061361457,0.0,25.65794563293457,0.06148099899291992
107,X_train_3,Random Forest Classifier,0.7459915611814347,0.0,35.75897407531738,0.39444470405578613
108,X_train_3,AdaBoost Classifier,0.6071741032370954,0.0,27.582173347473145,0.372589111328125
109,X_train_3,SVC,0.2055485498108449,0.0,24.290968656539917,6.134606599807739
110,X_train_3,Stacking Classifier,0.4519985057900635,0.0,124.16955661773682,6.85076379776001
111,X_train_3,XGBoost Classifier,0.7927999999999998,0.0,8.627715826034546,0.015587329864501953
112,X_train_0,Logistic Regression,0.5553869499241275,0.0,3.995055675506592,0.0011372566223144531
113,X_train_0,Bagging (Logistic Regression),0.5574102175012645,0.0,25.76723051071167,0.04173088073730469
114,X_train_0,Random Forest Classifier,0.7535211267605634,0.0,35.66043043136597,0.3840310573577881
115,X_train_0,AdaBoost Classifier,0.637546468401487,0.0,27.62685751914978,0.3810112476348877
116,X_train_0,SVC,0.22503328894806923,0.0,25.197901248931885,6.825249195098877
117,X_train_0,Stacking Classifier,0.43956043956043955,0.0,127.40165781974792,6.49131441116333
118,X_train_0,XGBoost Classifier,0.7869529314616021,0.0,10.10762095451355,0.014055967330932617
119,X_train_1,Logistic Regression,0.5475728155339806,0.0,3.5911643505096436,0.010828971862792969
120,X_train_1,Bagging (Logistic Regression),0.5504854368932038,0.0,25.29980731010437,0.04141640663146973
121,X_train_1,Random Forest Classifier,0.7374301675977654,0.0,35.31310248374939,0.38419318199157715
122,X_train_1,AdaBoost Classifier,0.6346067415730337,0.0,27.72543954849243,0.37041449546813965
123,X_train_1,SVC,0.21526418786692758,0.0,24.724661827087402,6.231470346450806
124,X_train_1,Stacking Classifier,0.4415300546448087,0.0,125.87531900405884,6.5001959800720215
125,X_train_1,XGBoost Classifier,0.7754601226993866,0.0,9.626307725906372,0.015984773635864258
126,X_train_2,Logistic Regression,0.5220406141654285,0.0,4.127094745635986,0.0009284019470214844
127,X_train_2,Bagging (Logistic Regression),0.5235032162295893,0.0,27.165184497833252,0.02500438690185547
128,X_train_2,Random Forest Classifier,0.7449664429530201,0.0,35.4660587310791,0.38431215286254883
129,X_train_2,AdaBoost Classifier,0.6039076376554174,0.0,27.615286827087402,0.37532591819763184
130,X_train_2,SVC,0.19859961807765752,0.0,24.685500860214233,6.134295701980591
131,X_train_2,Stacking Classifier,0.4436061863447756,0.0,125.05946779251099,6.342246055603027
132,X_train_2,XGBoost Classifier,0.7727815360127338,0.0,9.502234697341919,0.01447296142578125
133,X_train_3,Logistic Regression,0.5380564863571087,0.0,4.313650369644165,0.008089542388916016
134,X_train_3,Bagging (Logistic Regression),0.5349952061361457,0.0,25.710564374923706,0.027256011962890625
135,X_train_3,Random Forest Classifier,0.7379949452401011,0.0,35.534127712249756,0.38708949089050293
136,X_train_3,AdaBoost Classifier,0.6071741032370954,0.0,27.6987886428833,0.3731963634490967
137,X_train_3,SVC,0.2055485498108449,0.0,24.21513295173645,6.034382104873657
138,X_train_3,Stacking Classifier,0.4519985057900635,0.0,124.09276700019836,6.821622133255005
139,X_train_3,XGBoost Classifier,0.7927999999999998,0.0,8.994115591049194,0.014553308486938477
140,X_train_0,Logistic Regression,0.5553869499241275,0.0,3.6290395259857178,0.007845163345336914
141,X_train_0,Bagging (Logistic Regression),0.5574102175012645,0.0,25.801207304000854,0.03965449333190918
142,X_train_0,Random Forest Classifier,0.7547169811320755,0.0,35.425023555755615,0.4262416362762451
143,X_train_0,AdaBoost Classifier,0.637546468401487,0.0,27.6058566570282,0.37369751930236816
144,X_train_0,SVC,0.22503328894806923,0.0,25.183192253112793,6.293893098831177
145,X_train_0,Stacking Classifier,0.43956043956043955,0.0,129.5160105228424,6.492002487182617
146,X_train_0,XGBoost Classifier,0.7869529314616021,0.0,8.920275211334229,0.014164924621582031
147,X_train_1,Logistic Regression,0.5475728155339806,0.0,3.785733222961426,0.0009338855743408203
